Index,Date,Year,Month,"Month &
Date",# Of Covid Samples Received,# Of Covid Samples Billed,# Of Covid Samples Exception,# Of Covid Samples Client Bill,# Of Covid Samples Pending,# of Samples Received,# of samples Billed,# of Samples Billed from Previous Month,AEL/Client Bill,# of Exceptions,# of samples pending,Total Charge Entered,# of Claims Submitted,# of Claims Accepted,# of Claims Rejected,First Pass Acceptance Rate,Sum of Payment Received,Sum of Payment Posted,Sum of Payment Pending,Sum of Adjustment Posted,Payments Received in the Bank,Total Credit Cards Processed amount,Lockbox Deposit Amount,# of Denials Received,# of Denials Worked,# of Denials Pending,Denial %,# of Correspondence Received,# of Correspondence Worked,# of Correspondence Pending,Overall Samples Billed
1,2020-03-31,2020,March,March'20,0,0,0,0,0,3100,2621,,248,70,0,"$6,12,100.00",3255,3199,56,98.28%,"$1,99,427.80","$1,38,755.37","$60,672.43",,,,,46,46,0,1.00%,0,0,0,3454
2,2020-04-30,2020,April,April'20,0,0,0,0,0,1758,1438,294,137,52,0,"$3,64,322.00",1515,1477,38,97.49%,"$1,52,612.07","$1,51,771.79",$840.28,,,,,74,74,0,4.00%,12,12,0,1692
3,2020-05-31,2020,May,May'20,0,0,0,0,0,2070,1662,227,183,158,0,"$4,04,221.00",1765,1749,15,99.09%,"$1,22,204.34","$1,20,061.79","$2,142.55",,,,,31,31,0,2.00%,75,75,0,1954
4,2020-06-30,2020,June,June'20,7890,482,8,2184,5216,3242,1382,131,438,16,1406,"$6,29,653.54",1864,1169,74,62.71%,"$1,19,856.06","$1,20,113.23",$0.00,,$0.00,$0.00,$0.00,80,80,0,7%,146,146,0,1862
5,2020-07-31,2020,July,July'20,34896,24134,9,4053,6700,3089,3109,1263,476,20,-516,"$67,90,838.08",27243,3050,65,11.20%,"$11,62,740.16","$11,65,940.30",$0.00,,$0.00,$0.00,$0.00,353,353,0,12%,7195,7195,0,27237
6,2020-08-31,2020,August,August'20,54999,39825,21,12676,2477,2671,1667,319,191,7,806,"$1,04,05,307.08",41492,1554,103,3.75%,"$31,11,062.95","$31,02,149.54",$0.00,"$22,11,290.46",$0.00,$0.00,$0.00,360,360,0,23%,7197,7197,0,41482
7,2020-09-30,2020,September,September'20,57408,33189,53,15179,8987,2509,1401,428,307,26,775,"$84,74,162.13",34590,34487,103,99.70%,"$34,74,681.50","$34,51,571.23",$0.00,"$43,52,871.59",$0.00,$0.00,$0.00,410,410,0,1%,7158,7158,0,34487
8,2020-10-31,2020,October,October'20,68461,46840,55,15474,6092,2835,1536,556,185,29,1085,"$1,11,91,280.76",48376,47955,421,99.13%,"$40,10,510.97","$38,83,401.19",$0.00,"$42,74,741.60",$0.00,$0.00,$0.00,293,293,0,1%,0,0,0,47955
9,2020-11-30,2020,November,November'20,80412,59711,61,17718,2922,4227,3016,1051,380,48,783,"$1,50,01,663.72",62727,61863,864,98.62%,"$52,03,614.98","$51,57,089.64",$0.00,"$47,33,838.89",$0.00,$0.00,$0.00,591,591,0,1%,0,0,0,61863
10,2020-12-31,2020,December,December'20,70721,57211,50,17162,-3702,1745,1211,67,212,2,320,"$1,43,57,127.14",64213,63005,1208,98.12%,"$72,85,645.85","$72,43,963.54",$0.00,"$67,57,392.81",$0.00,$0.00,$0.00,5966,5966,0,9%,0,0,0,63005
11,2021-01-31,2021,January,January'21,50626,47284,14,9105,-5777,1901,1012,0,318,4,567,"$1,18,21,208.93",52776,51960,816,98.45%,"$38,09,027.61","$37,88,269.76","$20,757.85","$35,96,309.15",$0.00,$0.00,$0.00,5369,5369,0,10%,14090,14090,0,51960
12,2021-02-28,2021,February,February'21,21340,25902,21,3853,-8436,1868,1439,0,197,17,215,"$73,56,752.92",27345,26922,423,98.45%,"$28,60,370.65","$27,37,108.20","$1,23,262.45","$34,51,032.43",$0.00,$0.00,$0.00,2668,2668,0,10%,7296,7296,0,26922
13,2021-03-31,2021,March,March'21,15004,20551,26,2987,-8560,3169,2320,0,1548,18,-717,"$59,58,282.72",22871,22341,530,97.68%,"$32,11,189.54","$31,55,340.13","$55,849.41","$38,99,880.50",$0.00,$0.00,$0.00,2294,2294,0,10%,7298,7298,0,22341
14,2021-04-30,2021,April,April'21,15366,12152,23,3295,-104,2957,1962,0,1505,34,-544,"$39,32,186.95",14115,13894,221,98.43%,"$27,27,895.03","$26,76,217.83","$51,677.20","$39,02,075.10",$0.00,$0.00,$0.00,1103,1103,0,8%,3878,3878,0,13894
15,2021-05-31,2021,May,May'21,12799,10644,22,2688,-555,3133,2181,0,1661,22,-731,"$36,11,562.53",12826,12567,259,97.98%,"$12,80,907.75","$12,22,885.81","$58,021.94","$20,64,062.19",$0.00,$0.00,$0.00,826,826,0,7%,2273,2273,0,12567
16,2021-06-30,2021,June,June'21,9651,6277,13,2701,660,3471,2962,0,752,41,-284,"$24,71,688.77",9240,9044,196,97.88%,"$9,73,808.82","$9,12,894.46","$60,914.36","$23,00,740.08",$0.00,$0.00,$0.00,690,690,0,8%,1931,1931,0,9044
17,2021-07-31,2021,July,July'21,13747,7207,90,3783,2667,4178,1337,0,1032,43,1766,"$24,04,315.77",8551,8367,183,97.85%,"$8,16,422.25","$8,15,269.49","$1,152.76","$21,25,858.42",$0.00,$0.00,$0.00,841,841,0,10%,782,782,0,8367
